tweet_id_str,created_at,user_id_str,username,name,full_text,user_mentions,hashtags,location,lang,quote_count,views_count,favorite_count,reply_count,retweet_count,bookmark_count,media_url_https,tweet_url,relation_type,target_tweet_id_str,target_username,case_folding,cleansing,normalize,tokenize,stopword_removal,stemming,sentiment,score
1962324787067498634,Mon Sep 01 01:21:02 +0000 2025,1507233131778097153,innpurities,♡,"@prabowo Udah baca tiga kali, kok masih ga nemu permintaan maaf ya? Apa emang merasa ini bukan salah Bapak? Um anyway, Aksi Kamisan tuh damai banget dan mereka udah berjalan selama 18 tahun, kok belum pernah ditemuin? Padahal Bapak salah satu yang terduga loh!",@prabowo,-,"CA/FA, homophobic dni",in,0,69,0,0,0,0,-,https://x.com/innpurities/status/1962324787067498634,replied,1962095963067281680,prabowo,"@prabowo udah baca tiga kali, kok masih ga nemu permintaan maaf ya? apa emang merasa ini bukan salah bapak? um anyway, aksi kamisan tuh damai banget dan mereka udah berjalan selama 18 tahun, kok belum pernah ditemuin? padahal bapak salah satu yang terduga loh!",udah baca tiga kali kok masih ga nemu permintaan maaf ya apa emang merasa ini bukan salah bapak um anyway aksi kamisan tuh damai banget dan mereka udah berjalan selama tahun kok belum pernah ditemuin padahal bapak salah satu yang terduga loh,sudah baca tiga kali kok masih enggak nemu permintaan maaf ya apa memang merasa ini bukan salah bapak um anyway aksi kamisan tuh damai banget dan mereka sudah berjalan selama tahun kok belum pernah ditemuin padahal bapak salah satu yang terduga loh,"['sudah', 'baca', 'tiga', 'kali', 'kok', 'masih', 'enggak', 'nemu', 'permintaan', 'maaf', 'ya', 'apa', 'memang', 'merasa', 'ini', 'bukan', 'salah', 'bapak', 'um', 'anyway', 'aksi', 'kamisan', 'tuh', 'damai', 'banget', 'dan', 'mereka', 'sudah', 'berjalan', 'selama', 'tahun', 'kok', 'belum', 'pernah', 'ditemuin', 'padahal', 'bapak', 'salah', 'satu', 'yang', 'terduga', 'loh']","['baca', 'kali', 'nemu', 'permintaan', 'maaf', 'salah', 'um', 'anyway', 'aksi', 'kamisan', 'damai', 'banget', 'berjalan', 'ditemuin', 'salah', 'terduga', 'loh']",baca kali nemu minta maaf salah um anyway aksi kamis damai banget jalan ditemuin salah duga loh,negative,0.9482276439666748
1962326829790068882,Mon Sep 01 01:29:09 +0000 2025,1525338970338783233,lovelyjnly23,gurinjay,Prabowo minta maaf ke rakyat kiamat maju satu tahun,-,-,"Alergi Nominist, Nadongo, SFS",in,0,44,0,0,0,0,-,https://x.com/lovelyjnly23/status/1962326829790068882,quoted,1962309198097826030,neohistoria_id,prabowo minta maaf ke rakyat kiamat maju satu tahun,prabowo minta maaf ke rakyat kiamat maju satu tahun,prabowo meminta maaf ke rakyat kiamat maju satu tahun,"['prabowo', 'meminta', 'maaf', 'ke', 'rakyat', 'kiamat', 'maju', 'satu', 'tahun']","['prabowo', 'maaf', 'rakyat', 'kiamat', 'maju']",prabowo maaf rakyat kiamat maju,neutral,0.9769803285598755
1962344544693100578,Mon Sep 01 02:39:32 +0000 2025,1881090763184107520,narawinsm,kai mat era ⋆˚,"wo baca @prabowo, deadline nya masih ada 4 hari lagi kok yang 17 tuntutan dan yang 8 tuntutan masih satu tahun lagi",@prabowo,-,-,in,0,120,0,0,0,0,-,https://x.com/narawinsm/status/1962344544693100578,quoted,1962340481154920732,barengwarga,"wo baca @prabowo, deadline nya masih ada 4 hari lagi kok yang 17 tuntutan dan yang 8 tuntutan masih satu tahun lagi",wo baca deadline nya masih ada hari lagi kok yang tuntutan dan yang tuntutan masih satu tahun lagi,wo baca deadline nya masih ada hari lagi kok yang tuntutan dan yang tuntutan masih satu tahun lagi,"['wo', 'baca', 'deadline', 'nya', 'masih', 'ada', 'hari', 'lagi', 'kok', 'yang', 'tuntutan', 'dan', 'yang', 'tuntutan', 'masih', 'satu', 'tahun', 'lagi']","['wo', 'baca', 'deadline', 'tuntutan', 'tuntutan']",wo baca deadline tuntut tuntut,neutral,0.992344319820404
1962350080222204270,Mon Sep 01 03:01:32 +0000 2025,1546226754410643456,EsparantoH,Espha Reborn,@CakKhum Kira² 50 hari lagi kita memasuki tahun ke-2 (atau tahun terakhir ) pemerintahan presiden prabowo  Fufufafa sudah tidak sabar naik tahta  Sy meyakini kerusuhan bbrp hari terakhir salah satu skenario melengserkan prabowo utk diganti gibran  https://t.co/FUldWz5IkC,@CakKhum,-,-,in,0,10,0,0,0,0,-,https://x.com/EsparantoH/status/1962350080222204270,replied,1962180742982828062,CakKhum,@cakkhum kira² 50 hari lagi kita memasuki tahun ke-2 (atau tahun terakhir ) pemerintahan presiden prabowo  fufufafa sudah tidak sabar naik tahta  sy meyakini kerusuhan bbrp hari terakhir salah satu skenario melengserkan prabowo utk diganti gibran  https://t.co/fuldwz5ikc,kira hari lagi kita memasuki tahun ke atau tahun terakhir pemerintahan presiden prabowo fufufafa sudah tidak sabar naik tahta sy meyakini kerusuhan bbrp hari terakhir salah satu skenario melengserkan prabowo utk diganti gibran,kira hari lagi kita memasuki tahun ke atau tahun terakhir pemerintahan presiden prabowo fufufafa sudah tidak sabar naik tahta saya meyakini kerusuhan beberapa hari terakhir salah satu skenario melengserkan prabowo untuk diganti gibran,"['kira', 'hari', 'lagi', 'kita', 'memasuki', 'tahun', 'ke', 'atau', 'tahun', 'terakhir', 'pemerintahan', 'presiden', 'prabowo', 'fufufafa', 'sudah', 'tidak', 'sabar', 'naik', 'tahta', 'saya', 'meyakini', 'kerusuhan', 'beberapa', 'hari', 'terakhir', 'salah', 'satu', 'skenario', 'melengserkan', 'prabowo', 'untuk', 'diganti', 'gibran']","['memasuki', 'pemerintahan', 'presiden', 'prabowo', 'fufufafa', 'sabar', 'tahta', 'kerusuhan', 'salah', 'skenario', 'melengserkan', 'prabowo', 'diganti', 'gibran']",pasuk pemerintah presiden prabowo fufufafa sabar tahta rusuh salah skenario lengser prabowo ganti gibran,negative,0.6592148542404175
1962377503844274592,Mon Sep 01 04:50:30 +0000 2025,68122088,Adriandhy,BERSYUKUR ATAS FILM JUMBO,"17 tuntutan rakyat dalam satu minggu ke depan, dan 8 tuntutan rakyat dalam satu tahun ke depan.  Ayo @prabowo @gibran_tweet @DPR_RI @DivHumas_Polri - Sesuai pidato bapak presiden kemarin, aspirasi ini kami sampaikan dengan jelas dan tertib.  BUKTIKAN ANDA SEKALIAN BERSAMA RAKYAT. https://t.co/olglYoc6AJ",@prabowo;@gibran_tweet;@DPR_RI;@DivHumas_Polri,-,-,in,82,467861,8642,85,7383,624,https://pbs.twimg.com/media/GzvD70Ka4AAoesZ.jpg,https://x.com/Adriandhy/status/1962377503844274592,-,-,-,"17 tuntutan rakyat dalam satu minggu ke depan, dan 8 tuntutan rakyat dalam satu tahun ke depan.  ayo @prabowo @gibran_tweet @dpr_ri @divhumas_polri - sesuai pidato bapak presiden kemarin, aspirasi ini kami sampaikan dengan jelas dan tertib.  buktikan anda sekalian bersama rakyat. https://t.co/olglyoc6aj",tuntutan rakyat dalam satu minggu ke depan dan tuntutan rakyat dalam satu tahun ke depan ayo sesuai pidato bapak presiden kemarin aspirasi ini kami sampaikan dengan jelas dan tertib buktikan anda sekalian bersama rakyat,tuntutan rakyat dalam satu minggu ke depan dan tuntutan rakyat dalam satu tahun ke depan ayo sesuai pidato bapak presiden kemarin aspirasi ini kami sampaikan dengan jelas dan tertib buktikan anda sekalian bersama rakyat,"['tuntutan', 'rakyat', 'dalam', 'satu', 'minggu', 'ke', 'depan', 'dan', 'tuntutan', 'rakyat', 'dalam', 'satu', 'tahun', 'ke', 'depan', 'ayo', 'sesuai', 'pidato', 'bapak', 'presiden', 'kemarin', 'aspirasi', 'ini', 'kami', 'sampaikan', 'dengan', 'jelas', 'dan', 'tertib', 'buktikan', 'anda', 'sekalian', 'bersama', 'rakyat']","['tuntutan', 'rakyat', 'minggu', 'tuntutan', 'rakyat', 'ayo', 'sesuai', 'pidato', 'presiden', 'kemarin', 'aspirasi', 'tertib', 'buktikan', 'rakyat']",tuntut rakyat minggu tuntut rakyat ayo sesuai pidato presiden kemarin aspirasi tertib bukti rakyat,positive,0.8237370848655701
1962453259635052892,Mon Sep 01 09:51:32 +0000 2025,1465533351683497986,MiRV19Kft,Robi 𓁈𓃠𓆃☥𓅓𓆣𓂀𓋹l,@grok Karena ketua MPR masih satu partai dengan Prabowo apakah mungkin ketua MPR dapat bersikap independen sebagaimana komponen yudikatif jika kondisi keamanan di Indonesia sudah berada di level bahaya seperti kerusuhan tahun 1998??,@grok,-,Jakarta,in,0,67,0,1,0,0,-,https://x.com/MiRV19Kft/status/1962453259635052892,replied,1962452258555335099,grok,@grok karena ketua mpr masih satu partai dengan prabowo apakah mungkin ketua mpr dapat bersikap independen sebagaimana komponen yudikatif jika kondisi keamanan di indonesia sudah berada di level bahaya seperti kerusuhan tahun 1998??,karena ketua mpr masih satu partai dengan prabowo apakah mungkin ketua mpr dapat bersikap independen sebagaimana komponen yudikatif jika kondisi keamanan di indonesia sudah berada di level bahaya seperti kerusuhan tahun,karena ketua mpr masih satu partai dengan prabowo apakah mungkin ketua mpr dapat bersikap independen sebagaimana komponen yudikatif jika kondisi keamanan di indonesia sudah berada di level bahaya seperti kerusuhan tahun,"['karena', 'ketua', 'mpr', 'masih', 'satu', 'partai', 'dengan', 'prabowo', 'apakah', 'mungkin', 'ketua', 'mpr', 'dapat', 'bersikap', 'independen', 'sebagaimana', 'komponen', 'yudikatif', 'jika', 'kondisi', 'keamanan', 'di', 'indonesia', 'sudah', 'berada', 'di', 'level', 'bahaya', 'seperti', 'kerusuhan', 'tahun']","['ketua', 'mpr', 'partai', 'prabowo', 'ketua', 'mpr', 'bersikap', 'independen', 'komponen', 'yudikatif', 'kondisi', 'keamanan', 'indonesia', 'level', 'bahaya', 'kerusuhan']",ketua mpr partai prabowo ketua mpr sikap independen komponen yudikatif kondisi aman indonesia level bahaya rusuh,negative,0.5408521294593811
1962505960938938647,Mon Sep 01 13:20:57 +0000 2025,1210649599171448833,insilenceera,caca,"guys, gue cuman makin ga rela satu hal. prabowo mundur, yg gantiin gibran. jokowi menang lagi. kl polanya provaktornya sama kek demo omnibus law 2020 pas eranya beliau dgn demo tahun ini-bakar halte and so- bisa disuspect dalangnya siapa. apalagi peran gibran ga dianggap saat ini",-,-,-,in,0,509,1,2,0,0,-,https://x.com/insilenceera/status/1962505960938938647,quoted,1962486093460259214,txtdrimedia,"guys, gue cuman makin ga rela satu hal. prabowo mundur, yg gantiin gibran. jokowi menang lagi. kl polanya provaktornya sama kek demo omnibus law 2020 pas eranya beliau dgn demo tahun ini-bakar halte and so- bisa disuspect dalangnya siapa. apalagi peran gibran ga dianggap saat ini",guys gue cuman makin ga rela satu hal prabowo mundur yg gantiin gibran jokowi menang lagi kl polanya provaktornya sama kek demo omnibus law pas eranya beliau dgn demo tahun ini bakar halte and so bisa disuspect dalangnya siapa apalagi peran gibran ga dianggap saat ini,guys gue cuman makin enggak rela satu hal prabowo mundur yang menggantikan gibran jokowi menang lagi kalo polanya provaktornya sama kayak demo omnibus law pas eranya beliau dengan demo tahun ini bakar halte and sok bisa disuspect dalangnya siapa apalagi peran gibran enggak dianggap saat ini,"['guys', 'gue', 'cuman', 'makin', 'enggak', 'rela', 'satu', 'hal', 'prabowo', 'mundur', 'yang', 'menggantikan', 'gibran', 'jokowi', 'menang', 'lagi', 'kalo', 'polanya', 'provaktornya', 'sama', 'kayak', 'demo', 'omnibus', 'law', 'pas', 'eranya', 'beliau', 'dengan', 'demo', 'tahun', 'ini', 'bakar', 'halte', 'and', 'sok', 'bisa', 'disuspect', 'dalangnya', 'siapa', 'apalagi', 'peran', 'gibran', 'enggak', 'dianggap', 'saat', 'ini']","['guys', 'gue', 'cuman', 'rela', 'prabowo', 'mundur', 'menggantikan', 'gibran', 'jokowi', 'menang', 'kalo', 'polanya', 'provaktornya', 'kayak', 'demo', 'omnibus', 'law', 'pas', 'eranya', 'beliau', 'demo', 'bakar', 'halte', 'and', 'sok', 'disuspect', 'dalangnya', 'peran', 'gibran', 'dianggap']",guys gue cuman rela prabowo mundur ganti gibran jokowi menang kalo pola provaktornya kayak demo omnibus law pas era beliau demo bakar halte and sok disuspect dalang peran gibran anggap,negative,0.996377170085907
1962726906593484991,Tue Sep 02 03:58:54 +0000 2025,1557182798888198144,nalar_logis,Logika Dimas,"Belajar dari 20 tahun lebih era reformasi, menerapkan demokrasi liberal di negara paling majemuk di dunia (statistik menunjukan kita ada 1.340 sub etnis) membuat kita SULIT MEMBANGUN karena energi habis tersedot polarisasi dan saling menjatuhkan satu sama lain  tanpa TERTIB SIPIL dan STABILITAS POLITIK selamanya negara ini hanya jadi MEDIOKER di dunia (tak dipandang sebelah mata)  Tanpa stabilitas selamanya kita hanya JADI PENONTON kemajuan-kemajuan negara dan bangsa-bangsa lain  Banyak yg mermilih bapak (termasuk saya) karena berharap bapak bisa bertindak tegas (dan keras) untuk menciptakan TERTIB SIPIL dan STABILITAS POLITIK di negeri ini  Mohon jadi atensi bapak 🙏  cc yth maqs menteri @setkabgoid",@setkabgoid,-,Jakarta,in,0,114,1,0,0,0,-,https://x.com/nalar_logis/status/1962726906593484991,replied,1962686653585330683,prabowo,"belajar dari 20 tahun lebih era reformasi, menerapkan demokrasi liberal di negara paling majemuk di dunia (statistik menunjukan kita ada 1.340 sub etnis) membuat kita sulit membangun karena energi habis tersedot polarisasi dan saling menjatuhkan satu sama lain  tanpa tertib sipil dan stabilitas politik selamanya negara ini hanya jadi medioker di dunia (tak dipandang sebelah mata)  tanpa stabilitas selamanya kita hanya jadi penonton kemajuan-kemajuan negara dan bangsa-bangsa lain  banyak yg mermilih bapak (termasuk saya) karena berharap bapak bisa bertindak tegas (dan keras) untuk menciptakan tertib sipil dan stabilitas politik di negeri ini  mohon jadi atensi bapak 🙏  cc yth maqs menteri @setkabgoid",belajar dari tahun lebih era reformasi menerapkan demokrasi liberal di negara paling majemuk di dunia statistik menunjukan kita ada sub etnis membuat kita sulit membangun karena energi habis tersedot polarisasi dan saling menjatuhkan satu sama lain tanpa tertib sipil dan stabilitas politik selamanya negara ini hanya jadi medioker di dunia tak dipandang sebelah mata tanpa stabilitas selamanya kita hanya jadi penonton kemajuan kemajuan negara dan bangsa bangsa lain banyak yg mermilih bapak termasuk saya karena berharap bapak bisa bertindak tegas dan keras untuk menciptakan tertib sipil dan stabilitas politik di negeri ini mohon jadi atensi bapak cc yth maqs menteri,belajar dari tahun lebih era reformasi menerapkan demokrasi liberal di negara paling majemuk di dunia statistik menunjukan kita ada sub etnis membuat kita sulit membangun karena energi habis tersedot polarisasi dan saling menjatuhkan satu sama lain tanpa tertib sipil dan stabilitas politik selamanya negara ini hanya jadi medioker di dunia tak dipandang sebelah mata tanpa stabilitas selamanya kita hanya jadi penonton kemajuan kemajuan negara dan bangsa bangsa lain banyak yang mermilih bapak termasuk saya karena berharap bapak bisa bertindak tegas dan keras untuk menciptakan tertib sipil dan stabilitas politik di negeri ini mohon jadi atensi bapak cc yth maqs menteri,"['belajar', 'dari', 'tahun', 'lebih', 'era', 'reformasi', 'menerapkan', 'demokrasi', 'liberal', 'di', 'negara', 'paling', 'majemuk', 'di', 'dunia', 'statistik', 'menunjukan', 'kita', 'ada', 'sub', 'etnis', 'membuat', 'kita', 'sulit', 'membangun', 'karena', 'energi', 'habis', 'tersedot', 'polarisasi', 'dan', 'saling', 'menjatuhkan', 'satu', 'sama', 'lain', 'tanpa', 'tertib', 'sipil', 'dan', 'stabilitas', 'politik', 'selamanya', 'negara', 'ini', 'hanya', 'jadi', 'medioker', 'di', 'dunia', 'tak', 'dipandang', 'sebelah', 'mata', 'tanpa', 'stabilitas', 'selamanya', 'kita', 'hanya', 'jadi', 'penonton', 'kemajuan', 'kemajuan', 'negara', 'dan', 'bangsa', 'bangsa', 'lain', 'banyak', 'yang', 'mermilih', 'bapak', 'termasuk', 'saya', 'karena', 'berharap', 'bapak', 'bisa', 'bertindak', 'tegas', 'dan', 'keras', 'untuk', 'menciptakan', 'tertib', 'sipil', 'dan', 'stabilitas', 'politik', 'di', 'negeri', 'ini', 'mohon', 'jadi', 'atensi', 'bapak', 'cc', 'yth', 'maqs', 'menteri']","['belajar', 'era', 'reformasi', 'menerapkan', 'demokrasi', 'liberal', 'negara', 'majemuk', 'dunia', 'statistik', 'menunjukan', 'sub', 'etnis', 'sulit', 'membangun', 'energi', 'habis', 'tersedot', 'polarisasi', 'menjatuhkan', 'tertib', 'sipil', 'stabilitas', 'politik', 'negara', 'medioker', 'dunia', 'dipandang', 'sebelah', 'mata', 'stabilitas', 'penonton', 'kemajuan', 'kemajuan', 'negara', 'bangsa', 'bangsa', 'mermilih', 'berharap', 'bertindak', 'keras', 'menciptakan', 'tertib', 'sipil', 'stabilitas', 'politik', 'negeri', 'mohon', 'atensi', 'cc', 'yth', 'maqs', 'menteri']",ajar era reformasi terap demokrasi liberal negara majemuk dunia statistik tunjuk sub etnis sulit bangun energi habis sedot polarisasi jatuh tertib sipil stabilitas politik negara medioker dunia pandang belah mata stabilitas tonton maju maju negara bangsa bangsa mermilih harap tindak keras cipta tertib sipil stabilitas politik negeri mohon atensi cc yth maqs menteri,negative,0.9971774816513062
1962737437417054231,Tue Sep 02 04:40:45 +0000 2025,1329833189137739777,bluekawaa,riiv⁷,"eh tolol liat tuh aksi kamisan udah 18 tahun disampaikan dengan SANTUN dan damai tetep aja kaga digubris atasan lu si prabowo itu. oh ya lupa, dia kan salah satu pelaku",-,-,she/they,in,0,67,0,0,0,0,-,https://x.com/bluekawaa/status/1962737437417054231,quoted,1962679128135798997,Jateng_Twit,"eh tolol liat tuh aksi kamisan udah 18 tahun disampaikan dengan santun dan damai tetep aja kaga digubris atasan lu si prabowo itu. oh ya lupa, dia kan salah satu pelaku",eh tolol liat tuh aksi kamisan udah tahun disampaikan dengan santun dan damai tetep aja kaga digubris atasan lu si prabowo itu oh ya lupa dia kan salah satu pelaku,eh tolol lihat tuh aksi kamisan sudah tahun disampaikan dengan santun dan damai tetap saja kagak digubris atasan lu sih prabowo itu oh ya lupa dia kan salah satu pelaku,"['eh', 'tolol', 'lihat', 'tuh', 'aksi', 'kamisan', 'sudah', 'tahun', 'disampaikan', 'dengan', 'santun', 'dan', 'damai', 'tetap', 'saja', 'kagak', 'digubris', 'atasan', 'lu', 'sih', 'prabowo', 'itu', 'oh', 'ya', 'lupa', 'dia', 'kan', 'salah', 'satu', 'pelaku']","['tolol', 'lihat', 'aksi', 'kamisan', 'santun', 'damai', 'kagak', 'digubris', 'atasan', 'lu', 'prabowo', 'oh', 'lupa', 'salah', 'pelaku']",tolol lihat aksi kamis santun damai kagak gubris atas lu prabowo oh lupa salah laku,negative,0.9877715110778809
1962739029360943622,Tue Sep 02 04:47:05 +0000 2025,1707613283895902208,Pixie_Parasols,🍉 May | Cat Combatant 🐱🏹,"My last chat with my (ex) friend. 17 tahun temenan, 13 tahun sekolah di satu sekolah yang sama walau beda kelas-beda jurusan. Nahan² diri waktu beliau muji2 prabowo, tp udah gedek ya makin gedek karena dia lulusan sejarah dan sekarang ngajar di sekolah warga probram wowo. https://t.co/vquPGeDBrj",-,-,-,in,0,231,3,1,0,1,https://pbs.twimg.com/media/Gz0MvRgaoAQw-Cd.jpg,https://x.com/Pixie_Parasols/status/1962739029360943622,quoted,1962733122732335582,_e_g_a_n_,"my last chat with my (ex) friend. 17 tahun temenan, 13 tahun sekolah di satu sekolah yang sama walau beda kelas-beda jurusan. nahan² diri waktu beliau muji2 prabowo, tp udah gedek ya makin gedek karena dia lulusan sejarah dan sekarang ngajar di sekolah warga probram wowo. https://t.co/vqupgedbrj",my last chat with my ex friend tahun temenan tahun sekolah di satu sekolah yang sama walau beda kelas beda jurusan nahan diri waktu beliau muji prabowo tp udah gedek ya makin gedek karena dia lulusan sejarah dan sekarang ngajar di sekolah warga probram wowo,my last chat with my ex friend tahun berteman tahun sekolah di satu sekolah yang sama walau beda kelas beda jurusan menahan diri waktu beliau muji prabowo tapi sudah gedek ya makin gedek karena dia lulusan sejarah dan sekarang mengajar di sekolah warga probram wowo,"['my', 'last', 'chat', 'with', 'my', 'ex', 'friend', 'tahun', 'berteman', 'tahun', 'sekolah', 'di', 'satu', 'sekolah', 'yang', 'sama', 'walau', 'beda', 'kelas', 'beda', 'jurusan', 'menahan', 'diri', 'waktu', 'beliau', 'muji', 'prabowo', 'tapi', 'sudah', 'gedek', 'ya', 'makin', 'gedek', 'karena', 'dia', 'lulusan', 'sejarah', 'dan', 'sekarang', 'mengajar', 'di', 'sekolah', 'warga', 'probram', 'wowo']","['my', 'last', 'chat', 'with', 'my', 'ex', 'friend', 'berteman', 'sekolah', 'sekolah', 'beda', 'kelas', 'beda', 'jurusan', 'menahan', 'beliau', 'muji', 'prabowo', 'gedek', 'gedek', 'lulusan', 'sejarah', 'mengajar', 'sekolah', 'warga', 'probram', 'wowo']",my last chat with my ex friend teman sekolah sekolah beda kelas beda jurus tahan beliau muji prabowo gedek gedek lulus sejarah ajar sekolah warga probram wowo,negative,0.5262556076049805
