source,target,full_text,normal_text,stemm_text,sentiment
@innpurities,@prabowo,"@prabowo Udah baca tiga kali, kok masih ga nemu permintaan maaf ya? Apa emang merasa ini bukan salah Bapak? Um anyway, Aksi Kamisan tuh damai banget dan mereka udah berjalan selama 18 tahun, kok belum pernah ditemuin? Padahal Bapak salah satu yang terduga loh!",sudah baca tiga kali kok masih enggak nemu permintaan maaf ya apa memang merasa ini bukan salah bapak um anyway aksi kamisan tuh damai banget dan mereka sudah berjalan selama tahun kok belum pernah ditemuin padahal bapak salah satu yang terduga loh,baca kali nemu minta maaf salah um anyway aksi kamis damai banget jalan ditemuin salah duga loh,negative
@EsparantoH,@CakKhum,@CakKhum Kira² 50 hari lagi kita memasuki tahun ke-2 (atau tahun terakhir ) pemerintahan presiden prabowo  Fufufafa sudah tidak sabar naik tahta  Sy meyakini kerusuhan bbrp hari terakhir salah satu skenario melengserkan prabowo utk diganti gibran  https://t.co/FUldWz5IkC,kira hari lagi kita memasuki tahun ke atau tahun terakhir pemerintahan presiden prabowo fufufafa sudah tidak sabar naik tahta saya meyakini kerusuhan beberapa hari terakhir salah satu skenario melengserkan prabowo untuk diganti gibran,pasuk pemerintah presiden prabowo fufufafa sabar tahta rusuh salah skenario lengser prabowo ganti gibran,negative
@nalar_logis,@prabowo,"Belajar dari 20 tahun lebih era reformasi, menerapkan demokrasi liberal di negara paling majemuk di dunia (statistik menunjukan kita ada 1.340 sub etnis) membuat kita SULIT MEMBANGUN karena energi habis tersedot polarisasi dan saling menjatuhkan satu sama lain  tanpa TERTIB SIPIL dan STABILITAS POLITIK selamanya negara ini hanya jadi MEDIOKER di dunia (tak dipandang sebelah mata)  Tanpa stabilitas selamanya kita hanya JADI PENONTON kemajuan-kemajuan negara dan bangsa-bangsa lain  Banyak yg mermilih bapak (termasuk saya) karena berharap bapak bisa bertindak tegas (dan keras) untuk menciptakan TERTIB SIPIL dan STABILITAS POLITIK di negeri ini  Mohon jadi atensi bapak 🙏  cc yth maqs menteri @setkabgoid",belajar dari tahun lebih era reformasi menerapkan demokrasi liberal di negara paling majemuk di dunia statistik menunjukan kita ada sub etnis membuat kita sulit membangun karena energi habis tersedot polarisasi dan saling menjatuhkan satu sama lain tanpa tertib sipil dan stabilitas politik selamanya negara ini hanya jadi medioker di dunia tak dipandang sebelah mata tanpa stabilitas selamanya kita hanya jadi penonton kemajuan kemajuan negara dan bangsa bangsa lain banyak yang mermilih bapak termasuk saya karena berharap bapak bisa bertindak tegas dan keras untuk menciptakan tertib sipil dan stabilitas politik di negeri ini mohon jadi atensi bapak cc yth maqs menteri,ajar era reformasi terap demokrasi liberal negara majemuk dunia statistik tunjuk sub etnis sulit bangun energi habis sedot polarisasi jatuh tertib sipil stabilitas politik negara medioker dunia pandang belah mata stabilitas tonton maju maju negara bangsa bangsa mermilih harap tindak keras cipta tertib sipil stabilitas politik negeri mohon atensi cc yth maqs menteri,negative
@jagungkejucup,@onifess,"@onifess @prabowo dulu bunuh orang, sekarang juga bunuh orang, berapa banyak yang mau dia bunuh ya, terhitung satu tahun dia menjabat tapi udah begini. 4 tahun lagi nih, lama bgt",dulu bunuh orang sekarang juga bunuh orang berapa banyak yang mau dia bunuh ya terhitung satu tahun dia menjabat tapi sudah begini tahun lagi nih lama banget,bunuh orang bunuh orang bunuh hitung jabat nih banget,negative
@Musramidal67,@HukumDan,"@HukumDan @prabowo Ya iyalah ... Sudah 20th diidam-idamkan, belum juga satu tahun menjabat sudah ada demo skala besar. Apa gak grogi dia 😄😄😄",ya iyalah sudah tahu diidam idamkan belum juga satu tahun menjabat sudah ada demo skala besar apa enggak grogi dia,iya idam idam jabat demo skala grogi,negative
@iceumachiato,@Hangyulpadamu,"@Hangyulpadamu itu isinya pecinta prabowo semua kak ada satu lagi sama, mereka dua duanya pernah ditahan karena kasus bawaslu tahun 2019 itu",itu isinya pecinta prabowo semua kak ada satu lagi sama mereka dua duanya pernah ditahan karena kasus bawaslu tahun itu,isi cinta prabowo kak dua tahan bawaslu,neutral
@JanuarAnni63084,@SundaGenXY,"@SundaGenXY @tanyarlfes Yang nomor satu murni rakyat Indonesia yang bersuara. Yang nomor dua kaum buzzer yang dibayar sama @prabowo dan antek-anteknya. Sama kayak tahun kemarin, di mana kelompok massa tandingan adalah buzzer bayaran voter 02.",yang nomor satu murni rakyat indonesia yang bersuara yang nomor dua kaum buzzer yang dibayar sama dan antek anteknya sama kayak tahun kemarin di mana kelompok massa tandingan adalah buzzer bayaran voter,nomor murni rakyat indonesia suara nomor kaum buzzer bayar antek antek kayak kemarin kelompok massa tanding buzzer bayar voter,negative
@benaradil,@arwidodo,@arwidodo @prabowo bunuh saja satu per satu halal darah mereka karena 10 tahun zalim,bunuh saja satu per satu halal darah mereka karena tahun zalim,bunuh halal darah zalim,negative
@rani_manurung_,@budimandjatmiko,"@budimandjatmiko @prabowo Keputusan Presiden @Prabowo menunjukkan ketegasan prioritas: diplomasi luar negeri tetap jalan, tapi problem dalam negeri harus jadi nomor satu. Kehadiran beliau di panggung utama parade 80 tahun kekalahan fasis Jepang juga simbol pengakuan dunia terhadap posisi Indonesia.",keputusan presiden menunjukkan ketegasan prioritas diplomasi luar negeri tetap jalan tapi problem dalam negeri harus jadi nomor satu kehadiran beliau di panggung utama parade tahun kekalahan fasis jepang juga simbol pengakuan dunia terhadap posisi indonesia,putus presiden tegas prioritas diplomasi negeri jalan problem negeri nomor hadir beliau panggung utama parade kalah fasis jepang simbol aku dunia posisi indonesia,neutral
@DAUNKERING1998,@aVoiceinCrowd,@aVoiceinCrowd @Gojekmilitan @Budi83236750515 @prabowo Aku kasih waktu 1 juta tahun untuk bilang..aku sudah tahu satu tambah satu sama dengan dua😅..kuota habis! 🤣🤣🤣..nanya jago ditanya balik garuk2 otak! Otak digaruk🤣,aku kasih waktu juta tahun untuk bilang aku sudah tahu satu tambah satu sama dengan dua kuota habis bertanya jago ditanya balik garuk otak otak digaruk,kasih juta bilang kuota habis jago garuk otak otak garuk,negative
