created_at,user_id_str,username,name,fast_followers_count,favourites_count,followers_count,following_count,listed_count,media_count,normal_followers_count,statuses_count,url,location,image_url,account_url
Thu Jan 18 06:45:12 +0000 2007,659103,jauhari,jauhari,0,11093,3982,1202,119,25035,3982,122621,https://t.co/GrBELW0SpV,"Ponjong, Indonesia",https://pbs.twimg.com/profile_images/1970408209233125383/B68lE_FR_normal.jpg,https://x.com/jauhari
Sat Jun 09 05:37:30 +0000 2007,6689892,lutfithe13th,Lutfi Nur Farid,0,22912,2750,1171,10,1032,2750,35116,-,-,https://pbs.twimg.com/profile_images/1826524160774078466/m-Gberat_normal.jpg,https://x.com/lutfithe13th
Sun Jun 17 14:29:49 +0000 2007,6871332,netoismine,💙,0,38,435,238,1,131,435,9628,-,Indonesia,https://pbs.twimg.com/profile_images/1974917391206506496/hquVL81A_normal.jpg,https://x.com/netoismine
Mon Jul 23 16:55:32 +0000 2007,7662682,dewe,Dewe,0,5265,1764,1300,27,5412,1764,71866,-,-,https://pbs.twimg.com/profile_images/1719645034881126400/0J3Z-QMA_normal.jpg,https://x.com/dewe
Sun Aug 05 13:56:17 +0000 2007,7972002,chiw,💪🏻 ᓚᘏᗢ,0,10353,3379,887,45,7869,3379,199783,https://t.co/vZY8zBS7Cv,"Yogyakarta, Indonesia",https://pbs.twimg.com/profile_images/1983480641238036480/cHM3YpqJ_normal.jpg,https://x.com/chiw
Sat Sep 22 05:20:59 +0000 2007,9027462,cyanosist,яя,0,78154,747,798,2,3329,747,35222,-,Earth,https://pbs.twimg.com/profile_images/1908439382803271680/o8fCz5Q4_normal.jpg,https://x.com/cyanosist
Wed Oct 03 09:11:16 +0000 2007,9221962,dewawisana,Dewa Wisana,0,11335,2522,1268,11,384,2522,23385,https://t.co/1S8KEsS5Tj,"Jakarta, Indonesia",https://pbs.twimg.com/profile_images/1741742496479420416/t2XUQ-Ut_normal.jpg,https://x.com/dewawisana
Thu Oct 25 17:04:21 +0000 2007,9688522,Aceh,Aceh 🇮🇩🇹🇷🇵🇸,0,93223,47183,19399,46,15828,47183,37367,https://t.co/q22MfUYYj9,"Aceh, Indonesia",https://pbs.twimg.com/profile_images/1683776914459357191/6xXlCcar_normal.jpg,https://x.com/Aceh
Fri Nov 30 01:08:51 +0000 2007,10725682,Sawala_id_,ѕ α ω α ℓ α,0,2552,5339,1712,1,956,5339,2495,-,-,https://pbs.twimg.com/profile_images/1650077146373844992/ZFTFEqT5_normal.jpg,https://x.com/Sawala_id_
Fri Dec 21 17:06:59 +0000 2007,11409602,inminix88,Teh Kaleng,0,38800,231,933,2,2216,231,12202,-,-,https://pbs.twimg.com/profile_images/1991491807415558144/C92LU7Ew_normal.jpg,https://x.com/inminix88
